seed,split,n_test,n_no_hit,pct_no_hit,median_pident
0,random,8043,538,6.689046375730449,0.989
0,cluster,10381,3105,29.91041325498507,0.341
1,random,8043,592,7.360437647643914,0.988
1,cluster,7183,2741,38.1595433662815,0.313
2,random,8043,567,7.049608355091384,0.988
2,cluster,7144,2494,34.910414333706605,0.318
3,random,8043,616,7.658833768494343,0.989
3,cluster,8165,2819,34.5254133496632,0.311
4,random,8043,580,7.211239587218699,0.987
4,cluster,8356,2947,35.268070847295355,0.33
5,random,8043,554,6.8879771229640685,0.988
5,cluster,7680,2844,37.03125,0.308
6,random,8043,577,7.173940072112396,0.987
6,cluster,7120,2827,39.70505617977528,0.307
7,random,8043,583,7.248539102325003,0.988
7,cluster,10019,2740,27.3480387264198,0.326
8,random,8043,627,7.7955986572174565,0.987
8,cluster,9940,2905,29.225352112676056,0.354
9,random,8043,572,7.1117742136018895,0.987
9,cluster,8019,2877,35.87729143284699,0.32
