seed,split,cls,n_test
0,random,HYDROLASE,2130
0,random,IMMUNE SYSTEM,836
0,random,ISOMERASE,296
0,random,LYASE,466
0,random,OXIDOREDUCTASE,1286
0,random,SIGNALING PROTEIN,384
0,random,TRANSCRIPTION,397
0,random,TRANSFERASE,1581
0,random,TRANSPORT PROTEIN,369
0,random,VIRAL PROTEIN,298
0,cluster,HYDROLASE,2328
0,cluster,IMMUNE SYSTEM,2892
0,cluster,ISOMERASE,303
0,cluster,LYASE,447
0,cluster,OXIDOREDUCTASE,1469
0,cluster,SIGNALING PROTEIN,385
0,cluster,TRANSCRIPTION,466
0,cluster,TRANSFERASE,1452
0,cluster,TRANSPORT PROTEIN,387
0,cluster,VIRAL PROTEIN,252
0,cluster_stratified,HYDROLASE,1741
0,cluster_stratified,IMMUNE SYSTEM,1427
0,cluster_stratified,ISOMERASE,361
0,cluster_stratified,LYASE,388
0,cluster_stratified,OXIDOREDUCTASE,1291
0,cluster_stratified,SIGNALING PROTEIN,391
0,cluster_stratified,TRANSCRIPTION,321
0,cluster_stratified,TRANSFERASE,1566
0,cluster_stratified,TRANSPORT PROTEIN,403
0,cluster_stratified,VIRAL PROTEIN,460
1,random,HYDROLASE,2130
1,random,IMMUNE SYSTEM,836
1,random,ISOMERASE,296
1,random,LYASE,466
1,random,OXIDOREDUCTASE,1286
1,random,SIGNALING PROTEIN,384
1,random,TRANSCRIPTION,397
1,random,TRANSFERASE,1581
1,random,TRANSPORT PROTEIN,369
1,random,VIRAL PROTEIN,298
1,cluster,HYDROLASE,1942
1,cluster,IMMUNE SYSTEM,222
1,cluster,ISOMERASE,214
1,cluster,LYASE,510
1,cluster,OXIDOREDUCTASE,1198
1,cluster,SIGNALING PROTEIN,513
1,cluster,TRANSCRIPTION,390
1,cluster,TRANSFERASE,1347
1,cluster,TRANSPORT PROTEIN,434
1,cluster,VIRAL PROTEIN,413
1,cluster_stratified,HYDROLASE,2055
1,cluster_stratified,IMMUNE SYSTEM,2972
1,cluster_stratified,ISOMERASE,246
1,cluster_stratified,LYASE,438
1,cluster_stratified,OXIDOREDUCTASE,1049
1,cluster_stratified,SIGNALING PROTEIN,406
1,cluster_stratified,TRANSCRIPTION,385
1,cluster_stratified,TRANSFERASE,1451
1,cluster_stratified,TRANSPORT PROTEIN,356
1,cluster_stratified,VIRAL PROTEIN,303
2,random,HYDROLASE,2130
2,random,IMMUNE SYSTEM,836
2,random,ISOMERASE,296
2,random,LYASE,466
2,random,OXIDOREDUCTASE,1286
2,random,SIGNALING PROTEIN,384
2,random,TRANSCRIPTION,397
2,random,TRANSFERASE,1581
2,random,TRANSPORT PROTEIN,369
2,random,VIRAL PROTEIN,298
2,cluster,HYDROLASE,1827
2,cluster,IMMUNE SYSTEM,300
2,cluster,ISOMERASE,221
2,cluster,LYASE,473
2,cluster,OXIDOREDUCTASE,1175
2,cluster,SIGNALING PROTEIN,367
2,cluster,TRANSCRIPTION,419
2,cluster,TRANSFERASE,1571
2,cluster,TRANSPORT PROTEIN,376
2,cluster,VIRAL PROTEIN,415
2,cluster_stratified,HYDROLASE,1898
2,cluster_stratified,IMMUNE SYSTEM,243
2,cluster_stratified,ISOMERASE,361
2,cluster_stratified,LYASE,504
2,cluster_stratified,OXIDOREDUCTASE,1206
2,cluster_stratified,SIGNALING PROTEIN,294
2,cluster_stratified,TRANSCRIPTION,360
2,cluster_stratified,TRANSFERASE,1398
2,cluster_stratified,TRANSPORT PROTEIN,346
