seed,model,bin,n,accuracy
0,1-NN (memorisation probe),no hit,3146,0.2533375715193897
0,1-NN (memorisation probe),10-20%,3,0.0
0,1-NN (memorisation probe),20-30%,1418,0.2771509167842031
0,1-NN (memorisation probe),>30%,5814,0.35036119711042313
0,Linear SVM,no hit,3146,0.27844882390336934
0,Linear SVM,10-20%,3,0.3333333333333333
0,Linear SVM,20-30%,1418,0.27926657263751764
0,Linear SVM,>30%,5814,0.37770897832817335
0,ESM-2 650M frozen + linear probe,no hit,3146,0.5581691036236491
0,ESM-2 650M frozen + linear probe,10-20%,3,0.3333333333333333
0,ESM-2 650M frozen + linear probe,20-30%,1418,0.7157968970380818
0,ESM-2 650M frozen + linear probe,>30%,5814,0.8302373581011352
0,ESM-2 650M frozen + 1-NN,no hit,3146,0.582326764144946
0,ESM-2 650M frozen + 1-NN,10-20%,3,0.3333333333333333
0,ESM-2 650M frozen + 1-NN,20-30%,1418,0.655148095909732
0,ESM-2 650M frozen + 1-NN,>30%,5814,0.8126934984520123
1,1-NN (memorisation probe),no hit,2787,0.22497308934337998
1,1-NN (memorisation probe),20-30%,1362,0.24963289280469897
1,1-NN (memorisation probe),>30%,3034,0.3859591298615689
1,Linear SVM,no hit,2787,0.26157158234660927
1,Linear SVM,20-30%,1362,0.32158590308370044
1,Linear SVM,>30%,3034,0.35695451549110085
1,ESM-2 650M frozen + linear probe,no hit,2787,0.5091496232508074
1,ESM-2 650M frozen + linear probe,20-30%,1362,0.6953010279001468
1,ESM-2 650M frozen + linear probe,>30%,3034,0.6305207646671062
1,ESM-2 650M frozen + 1-NN,no hit,2787,0.5242195909580194
1,ESM-2 650M frozen + 1-NN,20-30%,1362,0.6541850220264317
1,ESM-2 650M frozen + 1-NN,>30%,3034,0.6829268292682927
2,1-NN (memorisation probe),no hit,2514,0.20883054892601433
2,1-NN (memorisation probe),10-20%,2,0.0
2,1-NN (memorisation probe),20-30%,1311,0.2486651411136537
2,1-NN (memorisation probe),>30%,3317,0.44377449502562555
2,Linear SVM,no hit,2514,0.26610978520286394
2,Linear SVM,10-20%,2,0.0
2,Linear SVM,20-30%,1311,0.2814645308924485
2,Linear SVM,>30%,3317,0.3741332529394031
2,ESM-2 650M frozen + linear probe,no hit,2514,0.5234685759745425
2,ESM-2 650M frozen + linear probe,10-20%,2,1.0
2,ESM-2 650M frozen + linear probe,20-30%,1311,0.7635392829900839
2,ESM-2 650M frozen + linear probe,>30%,3317,0.6952065119083509
2,ESM-2 650M frozen + 1-NN,no hit,2514,0.48528241845664283
2,ESM-2 650M frozen + 1-NN,10-20%,2,1.0
2,ESM-2 650M frozen + 1-NN,20-30%,1311,0.6666666666666666
2,ESM-2 650M frozen + 1-NN,>30%,3317,0.7377148025324088
3,1-NN (memorisation probe),no hit,2894,0.23255010366275053
3,1-NN (memorisation probe),20-30%,1451,0.24603721571330117
3,1-NN (memorisation probe),>30%,3820,0.3505235602094241
3,Linear SVM,no hit,2894,0.29716655148583276
3,Linear SVM,20-30%,1451,0.3108201240523777
3,Linear SVM,>30%,3820,0.38350785340314136
3,ESM-2 650M frozen + linear probe,no hit,2894,0.5414651002073255
3,ESM-2 650M frozen + linear probe,20-30%,1451,0.7450034458993797
3,ESM-2 650M frozen + linear probe,>30%,3820,0.7198952879581152
3,ESM-2 650M frozen + 1-NN,no hit,2894,0.51209398756047
3,ESM-2 650M frozen + 1-NN,20-30%,1451,0.7415575465196417
3,ESM-2 650M frozen + 1-NN,>30%,3820,0.7057591623036649
4,1-NN (memorisation probe),no hit,2964,0.2722672064777328
4,1-NN (memorisation probe),10-20%,1,0.0
4,1-NN (memorisation probe),20-30%,1305,0.2735632183908046
4,1-NN (memorisation probe),>30%,4086,0.5633871757219775
4,Linear SVM,no hit,2964,0.33974358974358976
4,Linear SVM,10-20%,1,0.0
4,Linear SVM,20-30%,1305,0.2988505747126437
4,Linear SVM,>30%,4086,0.5641213901125796
4,ESM-2 650M frozen + linear probe,no hit,2964,0.553306342780027
4,ESM-2 650M frozen + linear probe,10-20%,1,0.0
4,ESM-2 650M frozen + linear probe,20-30%,1305,0.767816091954023
4,ESM-2 650M frozen + linear probe,>30%,4086,0.8095937347038669
4,ESM-2 650M frozen + 1-NN,no hit,2964,0.5327260458839406
4,ESM-2 650M frozen + 1-NN,10-20%,1,0.0
4,ESM-2 650M frozen + 1-NN,20-30%,1305,0.660536398467433
4,ESM-2 650M frozen + 1-NN,>30%,4086,0.8051884483602545
5,1-NN (memorisation probe),no hit,2924,0.24042407660738713
5,1-NN (memorisation probe),10-20%,3,0.0
5,1-NN (memorisation probe),20-30%,1547,0.31932773109243695
5,1-NN (memorisation probe),>30%,3206,0.3767935121646912
5,Linear SVM,no hit,2924,0.2643638850889193
5,Linear SVM,10-20%,3,0.0
5,Linear SVM,20-30%,1547,0.27149321266968324
5,Linear SVM,>30%,3206,0.37960074859638177
5,ESM-2 650M frozen + linear probe,no hit,2924,0.5013679890560876
5,ESM-2 650M frozen + linear probe,10-20%,3,0.3333333333333333
5,ESM-2 650M frozen + linear probe,20-30%,1547,0.746606334841629
5,ESM-2 650M frozen + linear probe,>30%,3206,0.7170929507174049
5,ESM-2 650M frozen + 1-NN,no hit,2924,0.5471956224350205
5,ESM-2 650M frozen + 1-NN,10-20%,3,0.3333333333333333
5,ESM-2 650M frozen + 1-NN,20-30%,1547,0.6670976082740788
5,ESM-2 650M frozen + 1-NN,>30%,3206,0.6877729257641921
6,1-NN (memorisation probe),no hit,2856,0.20763305322128853
6,1-NN (memorisation probe),10-20%,8,0.125
6,1-NN (memorisation probe),20-30%,1376,0.28924418604651164
6,1-NN (memorisation probe),>30%,2880,0.39340277777777777
6,Linear SVM,no hit,2856,0.2545518207282913
6,Linear SVM,10-20%,8,0.25
