metric,baseline,gap,gap_sd,ci_low,ci_high,t,p,cohen_dz,wilcoxon_p
macro_f1,Logistic Regression,0.3536,0.0194,0.3397,0.3675,57.52,7.304592760700912e-13,18.19,0.002
macro_f1,Linear SVM,0.3288,0.0252,0.3107,0.3468,41.25,1.440012064114007e-11,13.05,0.002
macro_f1,1-NN (memorisation probe),0.3173,0.0297,0.296,0.3386,33.76,8.64659437889984e-11,10.68,0.002
macro_f1,Alignment top-hit transfer (MMseqs2),0.0268,0.0303,0.0052,0.0485,2.8,0.02071213420313067,0.89,0.0371
macro_f1,ESM-2 650M frozen + 1-NN,-0.0056,0.0232,-0.0222,0.011,-0.76,0.46413582058777414,-0.24,0.625
acc,Logistic Regression,0.3039,0.0395,0.2756,0.3321,24.31,1.6122498706279266e-09,7.69,0.002
acc,Linear SVM,0.3195,0.0374,0.2927,0.3462,27.02,6.313117773171908e-10,8.54,0.002
acc,1-NN (memorisation probe),0.3427,0.0439,0.3113,0.3741,24.71,1.3974676675500812e-09,7.81,0.002
acc,Alignment top-hit transfer (MMseqs2),0.0269,0.0168,0.0149,0.0389,5.08,0.0006644704466152874,1.61,0.002
acc,ESM-2 650M frozen + 1-NN,0.0163,0.0155,0.0052,0.0273,3.32,0.008892750455742351,1.05,0.0371
