threshold,seed,split,model,acc,macro_f1,n_clusters
0.9,0,cluster,1-NN (memorisation probe),0.6715486500254713,0.6122940042351879,21677
0.9,0,cluster,Logistic Regression,0.49719816607233824,0.36451818211351356,21677
0.9,0,cluster,Linear SVM,0.5022924095771778,0.41888238927250415,21677
0.9,0,cluster,ESM-2 650M frozen + linear probe,0.7753438614365766,0.7032760439963165,21677
0.9,1,cluster,1-NN (memorisation probe),0.6567817817817818,0.5913153096201931,21677
0.9,1,cluster,Logistic Regression,0.4991241241241241,0.3761977347623499,21677
0.9,1,cluster,Linear SVM,0.5073823823823824,0.42667819846025284,21677
0.9,1,cluster,ESM-2 650M frozen + linear probe,0.7688938938938938,0.7065174872694024,21677
0.9,2,cluster,1-NN (memorisation probe),0.6709574598504352,0.6116936587521965,21677
0.9,2,cluster,Logistic Regression,0.524212332965551,0.39548230492357145,21677
0.9,2,cluster,Linear SVM,0.5237219566016919,0.4363403600432177,21677
0.9,2,cluster,ESM-2 650M frozen + linear probe,0.7771239426259654,0.7062903445614026,21677
0.9,3,cluster,1-NN (memorisation probe),0.6797725024727992,0.6001508873302548,21677
0.9,3,cluster,Logistic Regression,0.5239861523244312,0.3932022938614794,21677
0.9,3,cluster,Linear SVM,0.5211424332344213,0.43063589010811326,21677
0.9,3,cluster,ESM-2 650M frozen + linear probe,0.7734915924826904,0.6936797027844799,21677
0.9,4,cluster,1-NN (memorisation probe),0.6911444471328333,0.6154284614426375,21677
0.9,4,cluster,Logistic Regression,0.5354464069683039,0.3839247758928784,21677
0.9,4,cluster,Linear SVM,0.5331478345027825,0.444362320040235,21677
0.9,4,cluster,ESM-2 650M frozen + linear probe,0.7939753205903702,0.7131009446950556,21677
0.9,5,cluster,1-NN (memorisation probe),0.6811968969338751,0.6117643729782738,21677
0.9,5,cluster,Logistic Regression,0.5193941632803842,0.38310724238970867,21677
0.9,5,cluster,Linear SVM,0.5251816278783401,0.4371236091803398,21677
0.9,5,cluster,ESM-2 650M frozen + linear probe,0.7829085088043345,0.7229891581113669,21677
0.9,6,cluster,1-NN (memorisation probe),0.6551132884262094,0.6030162992478013,21677
0.9,6,cluster,Logistic Regression,0.5322718922229026,0.42599962757797155,21677
0.9,6,cluster,Linear SVM,0.5217391304347826,0.45312344431161006,21677
0.9,6,cluster,ESM-2 650M frozen + linear probe,0.7781996325780771,0.7198362355304108,21677
0.9,7,cluster,1-NN (memorisation probe),0.6735386549340038,0.6078751054249045,21677
