id,id_pre,has_hit
s0,0.993,1
s1,0.963,1
s2,0.995,1
s3,1.0,1
s4,1.0,1
s5,0.996,1
s6,1.0,1
s7,0.9890000000000001,1
s8,0.983,1
s9,0.867,1
s10,0.99,1
s11,0.99,1
s12,0.998,1
s13,0.858,1
s14,0.993,1
s15,1.0,1
s16,1.0,1
s17,1.0,1
s18,0.958,1
s19,1.0,1
s20,0.997,1
s21,0.995,1
s22,1.0,1
s23,0.8290000000000001,1
s24,0.9390000000000001,1
s25,0.997,1
s26,0.997,1
s27,1.0,1
s28,0.998,1
s29,0.998,1
s30,0.998,1
s31,0.9840000000000001,1
s32,0.992,1
s33,0.9940000000000001,1
s34,0.991,1
s35,0.997,1
s36,0.632,1
s37,1.0,1
s38,0.996,1
s39,0.988,1
s40,0.991,1
s41,0.883,1
s42,0.998,1
s43,0.815,1
s44,1.0,1
s45,0.991,1
s46,1.0,1
s47,0.818,1
s48,0.986,1
s49,0.857,1
s50,0.995,1
s51,0.995,1
s52,0.996,1
s53,1.0,1
s54,1.0,1
s55,0.9940000000000001,1
s56,1.0,1
s57,0.997,1
s58,0.986,1
s59,0.9620000000000001,1
s60,1.0,1
s61,0.983,1
s62,1.0,1
s63,1.0,1
s64,0.9940000000000001,1
s65,0.6,1
s66,0.987,1
s67,0.9359999999999999,1
s68,0.873,1
s69,0.951,1
s70,1.0,1
s71,0.914,1
s72,1.0,1
s73,1.0,1
s74,1.0,1
s75,0.995,1
s76,0.995,1
s77,1.0,1
s78,0.97,1
s79,1.0,1
s80,0.7829999999999999,1
s81,0.7809999999999999,1
s82,1.0,1
s83,0.998,1
s84,1.0,1
s85,0.971,1
s86,1.0,1
s87,0.996,1
s88,0.963,1
s89,1.0,1
s90,1.0,1
s91,0.9890000000000001,1
s92,0.998,1
s93,0.696,1
s94,0.648,1
s95,0.956,1
s96,1.0,1
s97,1.0,1
s98,0.9940000000000001,1
s99,0.995,1
s100,0.997,1
s101,1.0,1
s102,0.971,1
s103,0.779,1
s104,1.0,1
s105,1.0,1
s106,1.0,1
s107,0.9309999999999999,1
s108,1.0,1
s109,1.0,1
s110,1.0,1
s111,0.998,1
s112,1.0,1
s113,1.0,1
s114,0.996,1
s115,0.985,1
s116,1.0,1
s117,1.0,1
s118,0.8370000000000001,1
s119,0.9309999999999999,1
s120,1.0,1
s121,0.987,1
s122,0.985,1
s123,0.8859999999999999,1
s124,0.8859999999999999,1
s125,0.9990000000000001,1
s126,1.0,1
s127,1.0,1
s128,1.0,1
s129,0.9940000000000001,1
s130,0.993,1
s131,1.0,1
s132,0.995,1
s133,0.991,1
s134,0.98,1
s135,0.98,1
s136,0.98,1
s137,1.0,1
s138,1.0,1
s139,0.6970000000000001,1
s140,1.0,1
s141,1.0,1
s142,1.0,1
s143,0.992,1
s144,0.992,1
s145,0.977,1
s146,0.991,1
s147,0.982,1
s148,0.873,1
s149,0.998,1
s150,0.988,1
s151,0.888,1
s152,1.0,1
s153,0.815,1
s154,0.91,1
s155,1.0,1
s156,0.991,1
s157,1.0,1
s158,0.993,1
s159,1.0,1
s160,0.992,1
s161,0.965,1
s162,0.569,1
s163,0.995,1
s164,1.0,1
s165,0.9940000000000001,1
s166,0.9309999999999999,1
s167,0.9520000000000001,1
s168,0.993,1
s169,1.0,1
s170,0.997,1
s171,1.0,1
s172,1.0,1
s173,1.0,1
s174,1.0,1
s175,0.997,1
s176,0.995,1
s177,1.0,1
s178,0.992,1
s179,0.992,1
s180,0.992,1
s181,0.992,1
s182,0.992,1
s183,0.992,1
s184,0.623,1
s185,0.8340000000000001,1
s186,0.963,1
s187,0.9940000000000001,1
s188,0.997,1
s189,1.0,1
s190,0.992,1
s191,0.991,1
s192,1.0,1
s193,0.997,1
s194,0.992,1
s195,0.992,1
s196,0.992,1
s197,0.992,1
s198,0.992,1
s199,0.992,1
s200,0.992,1
s201,0.997,1
s202,0.9940000000000001,1
s203,0.544,1
s204,0.935,1
s205,0.998,1
s206,0.8220000000000001,1
s207,0.996,1
s208,0.866,1
s209,0.9690000000000001,1
s210,1.0,1
s211,0.9690000000000001,1
s212,1.0,1
s213,1.0,1
s214,0.963,1
s215,1.0,1
s216,1.0,1
s217,0.903,1
s218,0.907,1
s219,0.997,1
s220,0.997,1
s221,0.9670000000000001,1
s222,0.655,1
s223,0.584,1
s224,0.98,1
s225,0.983,1
s226,1.0,1
s227,0.991,1
s228,0.89,1
s229,0.898,1
s230,0.9790000000000001,1
s231,0.9390000000000001,1
s232,0.905,1
s233,0.9009999999999999,1
s234,0.955,1
